"Timestamp","Consent and understanding","What is your title/position?","How many years of experience in visualization research do you have?","How often do you use the following sources when finding papers related to your research? [ACM/IEEE DL]","How often do you use the following sources when finding papers related to your research? [Citations from relevant articles]","How often do you use the following sources when finding papers related to your research? [ResearchGate]","How often do you use the following sources when finding papers related to your research? [PubMed]","How often do you use the following sources when finding papers related to your research? [Suggestions from peers/mentors]","How often do you use the following sources when finding papers related to your research? [Journal issues/conference proceedings]","How often do you use the following sources when finding papers related to your research? [Google Scholar]","If you use any other source, indicate here which one","...and how often you use it","How important are the following criteria when deciding to cite a research paper? [Institutional affiliation of the authors]","How important are the following criteria when deciding to cite a research paper? [Publication venue]","How important are the following criteria when deciding to cite a research paper? [Availability of data]","How important are the following criteria when deciding to cite a research paper? [Information about the authors' previous work]","How important are the following criteria when deciding to cite a research paper? [Robustness/replicability of the work]","How important are the following criteria when deciding to cite a research paper? [Comments from peers/mentors]","How important are the following criteria when deciding to cite a research paper? [Availability of pre-registration/study registration]","How important are the following criteria when deciding to cite a research paper? [Usage metrics (downloads, citations, altmetric)]","How important are the following criteria when deciding to cite a research paper? [Relevance to your work]","How important are the following criteria when deciding to cite a research paper? [Availability of research materials]","If you use any other criteria, indicate here which one","...and how important it is","If a research paper is relevant to your topic, but has been published in what you consider to be a sub-optimal venue, how much extra scrutiny would you give it?","How correlated do you think the quality of a venue is with the quality of its papers?","How important are the following criteria when assessing the quality of a venue? [Conference attendance/citations/downloads]","How important are the following criteria when assessing the quality of a venue? [Audience scope (regional/national vs international)]","How important are the following criteria when assessing the quality of a venue? [Acceptance rate/total submissions]","How important are the following criteria when assessing the quality of a venue? [Institutional/National ranking system (e.g., CORE)]","How important are the following criteria when assessing the quality of a venue? [Metrics of the venue (e.g., Journal Impact Factor, H5 index, Google Scholar ranking)]","How important are the following criteria when assessing the quality of a venue? [Opinions of peers/mentors]","How important are the following criteria when assessing the quality of a venue? [Research scope of the venue (i.e., focused vs broad)]","If you use any other criteria, indicate here which one","...and how important it is","Are there any other thoughts or comments you wish to share with us?"
"2021/07/14 6:58:43 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Graduate Student (Masters, PhD)","0","Never","Always","Rarely","Never","Frequently","Never","Always","","","Slightly important","Slightly important","Very important","Moderately important","Extremely important","Very important","Slightly important","Extremely important","Extremely important","Moderately important","","","4","4","Extremely important","Extremely important","Slightly important","Very important","Extremely important","Very important","Slightly important","","",""
"2021/07/14 7:05:20 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Graduate Student (Masters, PhD)","4","Never","Frequently","Rarely","Never","Frequently","Rarely","Frequently","","","Slightly important","Moderately important","Slightly important","Very important","Very important","Extremely important","Not at all important","Slightly important","Extremely important","Moderately important","","","2","3","Slightly important","Moderately important","Slightly important","Moderately important","Very important","Extremely important","Moderately important","","",""
